experiment,method,chain_len,severity,seed,edge_band,gate,metric,value,runtime_s,n_edges,note
controlled,pairwise_chain,12,3,1,1,,terminal_err,311.09089743913364,8.400005754083395e-06,11,
controlled,global_adj,12,3,1,1,,terminal_err,311.0908974391293,0.00039879999530967325,11,
controlled,global_band,12,3,1,3,,terminal_err,235.27925876834323,0.0008917999948607758,30,
controlled,global_full,12,3,1,11,,terminal_err,107.94806305371394,0.002857900006347336,66,
controlled,pairwise_chain,12,3,1,1,,mean_err,160.73917932900142,8.400005754083395e-06,11,
controlled,global_band,12,3,1,3,,mean_err,145.22080293946087,0.0008917999948607758,30,
controlled,global_full,12,3,1,11,,mean_err,78.01603757065915,0.002857900006347336,66,
controlled,pairwise_chain,12,3,2,1,,terminal_err,317.6211020563566,9.399998816661537e-06,11,
controlled,global_adj,12,3,2,1,,terminal_err,317.62110205635395,0.0007419000030495226,11,
controlled,global_band,12,3,2,3,,terminal_err,104.97975620557443,0.0015306999994209036,30,
controlled,global_full,12,3,2,11,,terminal_err,65.36384448131216,0.0019357999990461394,66,
controlled,pairwise_chain,12,3,2,1,,mean_err,185.4295463756699,9.399998816661537e-06,11,
controlled,global_band,12,3,2,3,,mean_err,79.17247899792102,0.0015306999994209036,30,
controlled,global_full,12,3,2,11,,mean_err,59.022429364427744,0.0019357999990461394,66,
controlled,pairwise_chain,12,3,3,1,,terminal_err,134.12398802868836,8.100003469735384e-06,11,
controlled,global_adj,12,3,3,1,,terminal_err,134.1239880287065,0.0003617999900598079,11,
controlled,global_band,12,3,3,3,,terminal_err,250.8081318861325,0.0012858999980380759,30,
controlled,global_full,12,3,3,11,,terminal_err,59.38528713921767,0.0018424000008963048,66,
controlled,pairwise_chain,12,3,3,1,,mean_err,89.63111818576836,8.100003469735384e-06,11,
controlled,global_band,12,3,3,3,,mean_err,127.61594821038493,0.0012858999980380759,30,
controlled,global_full,12,3,3,11,,mean_err,53.095062079805295,0.0018424000008963048,66,
controlled,pairwise_chain,12,3,4,1,,terminal_err,179.4512511611217,9.300012607127428e-06,11,
controlled,global_adj,12,3,4,1,,terminal_err,179.45125116111575,0.0007595000060973689,11,
controlled,global_band,12,3,4,3,,terminal_err,119.93635979760761,0.0013694999943254516,30,
controlled,global_full,12,3,4,11,,terminal_err,61.73393028022625,0.0022404000046662986,66,
controlled,pairwise_chain,12,3,4,1,,mean_err,112.46331114123927,9.300012607127428e-06,11,
controlled,global_band,12,3,4,3,,mean_err,108.38636687000121,0.0013694999943254516,30,
controlled,global_full,12,3,4,11,,mean_err,48.26611541577825,0.0022404000046662986,66,
controlled,pairwise_chain,2,5,0,1,,terminal_err,210.7002715138057,6.700007361359894e-06,1,
controlled,global_adj,2,5,0,1,,terminal_err,210.70027151380467,0.00014050000754650682,1,
controlled,global_band,2,5,0,1,,terminal_err,210.70027151380467,8.33000085549429e-05,1,
controlled,global_full,2,5,0,1,,terminal_err,210.70027151380467,6.979999307077378e-05,1,
controlled,pairwise_chain,2,5,0,1,,mean_err,105.35013575690284,6.700007361359894e-06,1,
controlled,global_band,2,5,0,1,,mean_err,105.35013575690233,8.33000085549429e-05,1,
controlled,global_full,2,5,0,1,,mean_err,105.35013575690233,6.979999307077378e-05,1,
controlled,pairwise_chain,2,5,1,1,,terminal_err,91.36916897438716,3.4999975468963385e-06,1,
controlled,global_adj,2,5,1,1,,terminal_err,91.36916897438772,7.160000677686185e-05,1,
controlled,global_band,2,5,1,1,,terminal_err,91.36916897438772,5.7600002037361264e-05,1,
controlled,global_full,2,5,1,1,,terminal_err,91.36916897438772,5.2400006097741425e-05,1,
controlled,pairwise_chain,2,5,1,1,,mean_err,45.68458448719358,3.4999975468963385e-06,1,
controlled,global_band,2,5,1,1,,mean_err,45.68458448719386,5.7600002037361264e-05,1,
controlled,global_full,2,5,1,1,,mean_err,45.68458448719386,5.2400006097741425e-05,1,
controlled,pairwise_chain,2,5,2,1,,terminal_err,77.54553845984421,4.699992132373154e-06,1,
controlled,global_adj,2,5,2,1,,terminal_err,77.54553845984493,0.00010230000771116465,1,
controlled,global_band,2,5,2,1,,terminal_err,77.54553845984493,7.480000203941017e-05,1,
controlled,global_full,2,5,2,1,,terminal_err,77.54553845984493,6.179999036248773e-05,1,
controlled,pairwise_chain,2,5,2,1,,mean_err,38.772769229922105,4.699992132373154e-06,1,
controlled,global_band,2,5,2,1,,mean_err,38.77276922992247,7.480000203941017e-05,1,
controlled,global_full,2,5,2,1,,mean_err,38.77276922992247,6.179999036248773e-05,1,
controlled,pairwise_chain,2,5,3,1,,terminal_err,190.1204585726167,3.4999975468963385e-06,1,
controlled,global_adj,2,5,3,1,,terminal_err,190.1204585726176,6.459999713115394e-05,1,
